场景名称,节点名称,答案
【社保】城乡养老转入企业养老（转入办理）,适用范围,城乡居民基本养老保险关系转入企业职工基本养老保险的适用范围：城乡居民基本养老保险关系转入企业职工基本养老保险适用于参加城镇职工基本养老保险、城乡居民基本养老保险两种制度需要办理衔接手续的人员。已经按照国家规定领取养老保险待遇的人员，不再办理城乡养老保险制度衔接手续。
【社保】机关事业养老转入企业职工养老（转入办理）,办理方式,请问您企业职工基本养老保险关系属于省本级、南京市、无锡市、徐州市、常州市、苏州市、南通市、连云港市、淮安市、盐城市、扬州市、镇江市、泰州市还是宿迁市？
【社保】机关事业养老转入企业职工养老（转入办理）,办理对象,机关事业单位基本养老保险转入企业职工基本养老保险的办理对象：单位社保经办人员或参保人员本人。
【社保】机关事业养老转入企业职工养老（转入办理）,办理流程,机关事业单位基本养老保险转入企业职工基本养老保险办理流程：由机关保险经办机构出具《养老保险参保缴费凭证》、出示社会保障卡或居民身份证并提交复印件，转入地经办机构向转出地经办机构发出《联系函》，机关保险经办机构收到联系函后出具《信息表》，个人缴费部分按计入本人基本养老保险个人账户的全部储存额计算转移；单位缴费部分以本人改革后各年度实际缴费工资为基数，按12%的总和转移，参保缴费不足1年的，按实际缴费月数计算转移。
【社保】机关事业养老转入企业职工养老（转入办理）,适用范围,机关事业单位基本养老保险转入企业职工基本养老保险的适用范围：参保人员从机关事业单位流动到企业的，在转移基本养老保险关系的同时，转移基金。其中，参保人员经组织批准从机关事业单位调动到企业的，基本养老保险关系转移至调入企业参保地的企业职工基本养老保险社保经办机构；参保人员因辞职、辞退等原因离开机关事业单位的，基本养老保险关系转移至户籍所在地的企业职工基本养老保险社保经办机构。
【社保】机关事业养老转入企业职工养老（转入办理）,1+13对应地市办理方式,"[answer]
execut:city=省级 THEN answer=""省本级机关事业单位基本养老保险转入企业职工基本养老保险的办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在社会保险关系所在地社会保险经办机构窗口办理。省本级地址：南京市鼓楼区龙园中路碧树园86号，咨询电话：025-83271737。""
execut:city=南京 THEN answer=""南京市机关事业单位基本养老保险转入企业职工基本养老保险的办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在社会保险关系所在地社会保险经办机构窗口办理。南京市地址：南京市水西门大街61号，咨询电话：025-86590932。""
execut:city=无锡 THEN answer=""无锡市机关事业单位基本养老保险转入企业职工基本养老保险的办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在社会保险关系所在地社会保险经办机构窗口办理。无锡市地址：无锡市广瑞路2号，咨询电话：0510-81880505-4。""
execut:city=徐州 THEN answer=""徐州市机关事业单位基本养老保险转入企业职工基本养老保险的办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在社会保险关系所在地社会保险经办机构窗口办理。徐州市地址：徐州市食品城人力资源服务中心，咨询电话：0516-85805802。""
execut:city=常州 THEN answer=""常州市机关事业单位基本养老保险转入企业职工基本养老保险的办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在社会保险关系所在地社会保险经办机构窗口办理。常州市地址：常州市天宁区锦绣路2号，市政务服务中心1号楼，咨询电话：0519-88123141。""
execut:city=苏州 THEN answer=""苏州市机关事业单位基本养老保险转入企业职工基本养老保险的办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在社会保险关系所在地社会保险经办机构窗口办理。苏州市地址：苏州市姑苏区平泷路251号城市生活广场六楼，咨询电话：0512-69820446。""
execut:city=南通 THEN answer=""南通市机关事业单位基本养老保险转入企业职工基本养老保险的办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在社会保险关系所在地社会保险经办机构窗口办理。南通市地址：南通市工农南路150号政务中心，咨询电话：0513-59000206、0513-59000205。""
execut:city=连云港 THEN answer=""连云港市机关事业单位基本养老保险转入企业职工基本养老保险的办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在社会保险关系所在地社会保险经办机构窗口办理。连云港地址：连云港市高新区花果山大道19-6号（连云港市科技馆西区），咨询电话：0518-85421526。""
execut:city=淮安 THEN answer=""淮安市机关事业单位基本养老保险转入企业职工基本养老保险的办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在社会保险关系所在地社会保险经办机构窗口办理。淮安市地址：淮安市翔宇中道150号，咨询电话：0517-83888094、0517-83888254。""
execut:city=盐城 THEN answer=""盐城市机关事业单位基本养老保险转入企业职工基本养老保险的办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在社会保险关系所在地社会保险经办机构窗口办理。盐城市地址：盐城市世纪大道19号，咨询电话：0515—80500023、80500026。""
execut:city=扬州 THEN answer=""扬州市机关事业单位基本养老保险转入企业职工基本养老保险的办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在社会保险关系所在地社会保险经办机构窗口办理。扬州市地址：扬州市文昌东路9号市民中心1号楼、扬州市广陵区淮海路108号，咨询电话：0514-80978696、80978656。""
execut:city=镇江 THEN answer=""镇江市机关事业单位基本养老保险转入企业职工基本养老保险的办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在社会保险关系所在地社会保险经办机构窗口办理。镇江市地址：镇江市运河路100号，咨询电话：0511-85342996、0511-85340310。""
execut:city=泰州 THEN answer=""泰州市机关事业单位基本养老保险转入企业职工基本养老保险的办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在社会保险关系所在地社会保险经办机构窗口办理。泰州市地址：泰州市洪泽湖路66号，咨询电话：0523-86606281、0523-86606812。""
execut:city=宿迁 THEN answer=""宿迁市机关事业单位基本养老保险转入企业职工基本养老保险的办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在社会保险关系所在地社会保险经办机构窗口办理。宿迁市地址：宿迁市宿城区洪泽湖路891号便民方舟1号楼，咨询电话：0527-84359539。""
execut:!city THEN answer=""请问您想询问的是哪个地市的办理方式？"""
【社保】机关事业养老转入企业职工养老（转入办理）,办结时限,机关事业单位基本养老保险转入企业职工基本养老保险的办结时限：45个工作日。
【社保】机关事业养老转入企业职工养老（转入办理）,办理时间,机关事业单位基本养老保险转入企业职工基本养老保险的办理时间：工作日时间均可办理。
一次性创业补贴申领,1+13对应地市申领方式,"[answer]
execut:city=南京 THEN answer=＂南京市一次性创业补贴的申领方式：到县（市、区）人力资源社会保障公共服务场所现场办理；也可以通过江苏省人力资源社会保障一体化平台的网页版和手机版办理。地址：南京市玄武区北京东路63号，南京市劳动就业服务管理中心。联系电话：025-86590832＂
execut:city=南通 THEN answer=＂南通市一次性创业补贴的申领方式：到县（市、区）人力资源社会保障公共服务场所现场办理；也可以通过江苏省人力资源社会保障一体化平台的网页版和手机版办理。地址：江苏省南通市崇川区工农南路150号政务中心，南通市劳动就业管理中心。联系电话：0513-59000195＂
execut:city=苏州 THEN answer=＂苏州市一次性创业补贴的申领方式：到县（市、区）人力资源社会保障公共服务场所现场办理；也可以通过江苏省人力资源社会保障一体化平台的网页版和手机版办理。地址：苏州市平泷路251号，苏州市劳动就业管理服务中心。联系电话：0512-68295466＂
execut:city=无锡 THEN answer=＂无锡市一次性创业补贴的申领方式：到县（市、区）人力资源社会保障公共服务场所现场办理；也可以通过江苏省人力资源社会保障一体化平台的网页版和手机版办理。地址：无锡市广瑞路2号，无锡市人力资源市场。联系电话：0510-82411685＂
execut:city=扬州 THEN answer=＂扬州市一次性创业补贴的申领方式：到县（市、区）人力资源社会保障公共服务场所现场办理；也可以通过江苏省人力资源社会保障一体化平台的网页版和手机版办理。地址：扬州市江阳西路101号，扬州市劳动就业服务中心。联系电话：0514-87352253＂
execut:city=淮安 THEN answer=＂淮安市一次性创业补贴的申领方式：到县（市、区）人力资源社会保障公共服务场所现场办理；也可以通过江苏省人力资源社会保障一体化平台的网页版和手机版办理。地址：淮安市城南乡国联商务中心人力资源大厦，淮安市劳动就业管理中心。联系电话：0517-83612113＂
execut:city=常州 THEN answer=＂常州市一次性创业补贴的申领方式：到县（市、区）人力资源社会保障公共服务场所现场办理；也可以通过江苏省人力资源社会保障一体化平台的网页版和手机版办理。地址：江苏省常州市锦绣路2号，常州市劳动就业管理中心。联系方式：0519-85588912＂
execut:city=宿迁 THEN answer=＂宿迁市一次性创业补贴的申领方式：到县（市、区）人力资源社会保障公共服务场所现场办理；也可以通过江苏省人力资源社会保障一体化平台的网页版和手机版办理。地址：宿迁市便民方舟一号楼三楼就业服务大厅，宿迁市劳动就业管理中心。联系电话：0527-84359975、84359935、84359029、84359569＂
execut:city=徐州 THEN answer=＂徐州市一次性创业补贴的申领方式：到县（市、区）人力资源社会保障公共服务场所现场办理；也可以通过江苏省人力资源社会保障一体化平台的网页版和手机版办理。地址：徐州市云龙区食品城南人力资源服务中心，徐州市劳动就业管理中心。联系电话：0516-85805723＂
execut:city=泰州 THEN answer=＂泰州市一次性创业补贴的申领方式：到县（市、区）人力资源社会保障公共服务场所现场办理；也可以通过江苏省人力资源社会保障一体化平台的网页版和手机版办理。地址：泰州市洪泽湖路66号，泰州市劳动就业管理中心。联系电话：0523-86606531＂
execut:city=盐城 THEN answer=＂盐城市一次性创业补贴的申领方式：到县（市、区）人力资源社会保障公共服务场所现场办理；也可以通过江苏省人力资源社会保障一体化平台的网页版和手机版办理。地址：盐城市人民南路38号新龙广场4号楼，盐城市劳动就业中心。联系电话：0515-88327824＂
execut:city=省级 THEN answer=＂很抱歉，您咨询的地区没有相关规定，您可以拨打当地12333详细咨询。＂
execut:city=连云港 THEN answer=＂连云港市一次性创业补贴的申领方式：到县（市、区）人力资源社会保障公共服务场所现场办理；也可以通过江苏省人力资源社会保障一体化平台的网页版和手机版办理。地址：连云港市科技馆西区，连云港市职业介绍服务中心。联系电话：0518-85685911＂
execut:city=镇江 THEN answer=＂镇江市一次性创业补贴的申领方式：到县（市、区）人力资源社会保障公共服务场所现场办理；也可以通过江苏省人力资源社会保障一体化平台的网页版和手机版办理。地址：镇江市润州区运河路100号，镇江市劳动就业管理中心。联系电话：0511-89886627、89886866、89886862、89886951＂
execut:!city THEN answer=＂请问您想询问的是哪个地市的申领方式？＂"
一次性创业补贴申领,一次性创业补贴的申领方式,请问您要咨询的是南京市、无锡市、徐州市、常州市、苏州市、南通市、连云港市、淮安市、盐城市、扬州市、镇江市、泰州市还是宿迁市？
一次性创业补贴申领,一次性创业补贴的适用范围,一次性创业补贴的适用范围：首次成功创业（在本省领取营业执照或其他法定注册登记手续）并带动其他劳动者就业，正常经营6个月以上，依法申报纳税的普通高等学校学生（在校及毕业2年内）、复员转业退役军人、从事非农产业创业的农民、登记失业人员和就业困难人员所创办的创业主体。
一次性创业补贴申领,一次性创业补贴的申领材料,一次性创业补贴的申领材料：创业主体提供基本身份类证明（学生可提供学籍证明或毕业证书）复印件、申请前连续6个月申报或缴税（含免税）证明等。带动其他劳动者就业情况由人社部门内部核查， 营业执照（或民办非企业单位登记证书）注册登记情况由人社部门协调市场监管（民政）部门协查。
一次性工亡补助金申领,发放标准,一次性工亡补助金（含生活困难，预支50％确认）、丧葬补助金申领发放标准：（一）丧葬补助金为6个月的统筹地区上年度职工月平均工资；（二）一次性工亡补助金标准为上一年度全国城镇居民人均可支配收入的20倍。 伤残职工在停工留薪期内因工伤导致死亡的，其近亲属享受丧葬补助金和一次性工亡补助金。 一级至四级伤残职工在停工留薪期满后死亡的，其近亲属可以享受丧葬补助金。
一次性工亡补助金申领,申领条件,请问您咨询的是一次性工亡补助金（含生活困难，预支50％确认）申领条件还是工亡丧葬补助金申领条件？
一次性工亡补助金申领,办理时间,一次性工亡补助金（含生活困难，预支50％确认）、丧葬补助金申请的办理时间为：工作日均可办理。
一次性工亡补助金申领,申领材料,一次性工亡补助金（含生活困难，预支50％确认）、丧葬补助金申领材料：1.《江苏省工伤保险待遇申领表》；2.法院或公安机关出具的失踪证明、法院宣告死亡的生效判决书 。       3、社会保险经办业务证明事项告知承诺制承诺书（伤残职工在停工留薪期内因工伤导致死亡的和一级至四级伤残职工在停工留薪期满后死亡的须提供）
一次性工亡补助金申领,办理方式,请问工伤保险缴纳地属于省本级、南京市、无锡市、徐州市、常州市、苏州市、南通市、连云港市、淮安市、盐城市、扬州市、镇江市、泰州市还是宿迁市？
一次性工亡补助金申领,办理对象,一次性工亡补助金（含生活困难，预支50％确认）、丧葬补助金申领办理对象：职工近亲属、单位社保经办人员办理。
一次性工亡补助金申领,发放时限,一次性工亡补助金（含生活困难，预支50％确认）、丧葬补助金申请发放时限为：30个工作日。
一次性工亡补助金申领,发放方式,一次性工亡补助金（含生活困难，预支50％确认）、丧葬补助金的发放方式：通过银行代发至单位账户、参保人员银行账户或社保卡，也可发给直系亲属提供的银行账户。
一次性工亡补助金申领,一次性工亡补助金申领条件,一次性工亡补助金（含生活困难，预支50％确认）申领条件：①参保职工被人社行政部门认定为工亡。②职工因工伤外出期间发生事故或者在抢险救灾中下落不明的，从第四个月开始生活有困难的。
一次性工亡补助金申领,工亡丧葬补助金申领条件,工亡丧葬补助金申领条件：①参保职工被人社行政部门认定为工亡或一级至四级伤残职工在停工留薪期满后死亡的。
一次性工亡补助金申领,1+13对应地市办理方式,"[answer]
execut:city=省级 THEN answer="" 省本级一次性工亡补助金（含生活困难，预支50％确认）、丧葬补助金申领办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在社会保险关系所在地社会保险经办机构窗口办理。省本级地址：南京市鼓楼区龙园中路碧树园86号，咨询电话：025-83271752。""
execut:city=南京 THEN answer="" 南京市一次性工亡补助金（含生活困难，预支50％确认）、丧葬补助金申领办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在社会保险关系所在地社会保险经办机构窗口办理。南京市地址：南京市水西门大街61号，咨询电话：025-86590971。""
execut:city=无锡 THEN answer="" 无锡市一次性工亡补助金（含生活困难，预支50％确认）、丧葬补助金申领办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在社会保险关系所在地社会保险经办机构窗口办理。无锡市地址：无锡市广瑞路2号，咨询电话：0510-82411339。""
execut:city=徐州 THEN answer="" 徐州市一次性工亡补助金（含生活困难，预支50％确认）、丧葬补助金申领办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在社会保险关系所在地社会保险经办机构窗口办理。徐州市地址：徐州市食品城人力资源服务中心，咨询电话：0516-83870585。""
execut:city=常州 THEN answer="" 常州市一次性工亡补助金（含生活困难，预支50％确认）、丧葬补助金申领办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在社会保险关系所在地社会保险经办机构窗口办理。常州市地址：常州市局前街176号A座，咨询电话：0519-86622690。""
execut:city=苏州 THEN answer="" 苏州市一次性工亡补助金（含生活困难，预支50％确认）、丧葬补助金申领办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在社会保险关系所在地社会保险经办机构窗口办理。苏州市地址：苏州市十梓街548号，咨询电话：0512-69820453。""
execut:city=南通 THEN answer="" 南通市一次性工亡补助金（含生活困难，预支50％确认）、丧葬补助金申领办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在社会保险关系所在地社会保险经办机构窗口办理。南通市地址：南通市工农南路150号政务中心，咨询电话：0513-59000196。""
execut:city=连云港 THEN answer="" 连云港市一次性工亡补助金（含生活困难，预支50％确认）、丧葬补助金申领办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在社会保险关系所在地社会保险经办机构窗口办理。连云港市地址：连云港市海州区朝阳东路22号，咨询电话：0518-85682521。""
execut:city=淮安 THEN answer="" 淮安市一次性工亡补助金（含生活困难，预支50％确认）、丧葬补助金申领办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在社会保险关系所在地社会保险经办机构窗口办理。淮安市地址：淮安市翔宇中道150号，咨询电话：0517-83319007。""
execut:city=盐城 THEN answer="" 盐城市一次性工亡补助金（含生活困难，预支50％确认）、丧葬补助金申领办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在社会保险关系所在地社会保险经办机构窗口办理。盐城市地址：盐城市世纪大道19号，咨询电话：0515-88315426。""
execut:city=扬州 THEN answer="" 扬州市一次性工亡补助金（含生活困难，预支50％确认）、丧葬补助金申领办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在社会保险关系所在地社会保险经办机构窗口办理。扬州市地址：扬州市文昌东路9号市民中心1号楼，咨询电话：0514-80978610。""
execut:city=镇江 THEN answer="" 镇江市一次性工亡补助金（含生活困难，预支50％确认）、丧葬补助金申领办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在社会保险关系所在地社会保险经办机构窗口办理。镇江市地址：镇江市运河路100号，咨询电话：0511-85340789。""
execut:city=泰州 THEN answer="" 泰州市一次性工亡补助金（含生活困难，预支50％确认）、丧葬补助金申领办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在社会保险关系所在地社会保险经办机构窗口办理。泰州市地址：泰州市南园新村33号，咨询电话：0523-86606515。""
execut:city=宿迁 THEN answer=""宿迁市一次性工亡补助金（含生活困难，预支50％确认）、丧葬补助金申领办理方式：1、用人单位可以通过“江苏人社一体化服务平台”网上办理。2、可在社会保险关系所在地社会保险经办机构窗口办理。宿迁市地址：宿迁市洪泽湖路891号便民方舟1号楼，咨询电话：0527-84359039。""
execut:!city THEN answer=""请问您想询问的是哪个地市的办理方式？"""
一次性工伤医疗补助金,办理时间,一次性工伤医疗补助金申请的办理时间为：工作日均可办理。
一次性工伤医疗补助金,办理对象,一次性工伤医疗补助金的办理对象：职工本人或近亲属、单位社保经办人员办理。
一次性工伤医疗补助金,申领材料,一次性工伤医疗补助金申领材料：《江苏省工伤保险待遇申领表》。
一次性工伤医疗补助金,发放方式,一次性工伤医疗补助金的发放方式：通过银行代发至参保人员银行账户或社保卡。
一次性工伤医疗补助金,申领条件,一次性工伤医疗补助金申领应符合以下条件：①参保职工被人社行政部门认定为工伤；②工伤职工经劳动能力鉴定委员会评定有劳动功能障碍或生活自理障碍的；③工伤职工劳动、聘用合同期满终止或者工伤职工本人提出解除劳动、聘用合同。
一次性工伤医疗补助金,发放时限,一次性工伤医疗补助金申请后的发放时限为：30个工作日。
一次性工伤医疗补助金,办理方式,请问您工伤保险缴纳地属于省本级、南京市、无锡市、徐州市、常州市、苏州市、南通市、连云港市、淮安市、盐城市、扬州市、镇江市、泰州市还是宿迁市？
